鄉鎮市區,土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,總價元,單價每平方公尺,車位移轉總面積平方公尺,電梯
安平區,8.85,18,住宅大樓,112.97,2,2,1,有,4820000,46704,27.75,有
安平區,8.49,18,住宅大樓,96.39,2,2,1,有,5250000,54566,11.17,有
安平區,8.24,18,住宅大樓,94.32,2,2,1,有,4800000,51115,11.17,有
安平區,11.83,18,住宅大樓,143.46,3,2,2,有,7650000,55741,27.75,有
安平區,8.85,18,住宅大樓,112.9,2,2,1,有,5130000,50383,27.75,有
安平區,11.83,18,住宅大樓,143.46,3,2,2,有,7850000,57037,27.75,有
安平區,11.83,18,住宅大樓,143.46,3,2,2,有,7730000,56432,27.75,有
安平區,11.12,18,住宅大樓,136.2,3,2,2,有,6930000,52837,27.75,有
安平區,11.12,18,住宅大樓,136.2,3,2,2,有,7000000,53483,27.75,有
中西區,19.3,21,住宅大樓,254.76,3,2,2,有,17100000,67123,43.11,有
北區,6.52,25,住宅大樓,95.39,3,2,2,有,5500000,57656,,有
安平區,30.68,9,華夏,222.39,3,2,3,有,10500000,47215,,有
北區,67.5,4,透天厝,181.48,4,2,4,無,16800000,92572,,無
中西區,12.79,13,住宅大樓,81.94,2,1,1,有,6380000,77864,,有
中西區,12.07,15,住宅大樓,116.39,2,1,1,有,7650000,65728,24.83,有
中西區,7.71,,華夏,,2,1,1,有,2235000,52618,,
北區,36.32,10,華夏,164.21,3,2,2,有,6800000,41409,,有
北區,63.7,,,,,,,無,1261994,19812,,
北區,36.32,10,華夏,162.63,3,2,2,有,4200000,25826,,有
安平區,22.66,9,華夏,193.5,2,1,3,有,9500000,49096,,有
北區,31.38,11,住宅大樓,145.28,3,2,2,有,7600000,52311,,有
中西區,20.83,20,住宅大樓,186.02,3,2,2,有,12800000,68809,38.27,有
安平區,8.29,24,住宅大樓,173.37,3,2,2,有,6700000,38646,,有
安平區,0.73,,,,,,,有,1300000,42085,,
北區,28.92,5,公寓,97.53,3,1,2,無,2000000,20507,,無
安平區,24.34,29,住宅大樓,269.57,,,,有,32850000,129507,18.23,有
安平區,11.26,18,住宅大樓,137.97,3,2,2,有,6750000,49898,27.75,有
安平區,8.1,18,住宅大樓,92.51,2,2,1,有,4760000,50527,11.17,有
安平區,8.7,18,住宅大樓,111.24,2,2,1,有,5800000,55097,27.75,有
安平區,8.1,18,住宅大樓,92.51,2,2,1,有,4630000,50158,11.17,有
安平區,7.75,18,住宅大樓,81.36,2,2,1,有,3950000,48548,,有
安平區,7.75,18,住宅大樓,81.35,2,2,1,有,3950000,48554,,有
中西區,53.96,2,透天厝,81.55,3,1,2,無,4400000,53955,,無
安平區,8.46,18,住宅大樓,111.72,2,2,1,有,5630000,54450,30.36,有
安平區,7.85,18,住宅大樓,81.68,2,2,1,有,3950000,48361,,有
安平區,8.56,18,住宅大樓,112.04,2,2,1,有,5150000,48357,30.36,有
安平區,8.21,18,住宅大樓,92.85,2,2,1,有,4950000,53259,11.17,有
安平區,8.56,18,住宅大樓,109.43,2,2,1,有,5700000,54484,27.75,有
北區,10.14,14,住宅大樓,131.24,3,2,2,有,6000000,45717,17.17,有
安平區,8.03,18,住宅大樓,90.87,2,2,1,有,4950000,55208,11.17,有
北區,,2,透天厝,77.82,4,1,3,無,6000000,77101,,無
北區,54.6,2,透天厝,74.13,4,1,3,無,2800000,37771,,無
安平區,8.81,18,住宅大樓,112.2,2,2,1,有,5680000,53050,27.75,有
安平區,8.46,18,住宅大樓,95.62,2,2,1,有,5250000,55063,11.17,有
安平區,8.81,18,住宅大樓,112.2,2,2,1,有,5850000,54471,27.75,有
安平區,9.02,18,住宅大樓,114.35,2,2,1,有,5550000,50233,27.75,有
安平區,33.91,24,住宅大樓,390.42,3,2,2,有,25300000,64803,21.93,有
中西區,6.67,7,華夏,34.31,1,0,1,有,880000,25647,,有
安平區,11.8,18,住宅大樓,142.87,3,2,2,有,7680000,55853,27.75,有
安平區,11.8,18,住宅大樓,142.87,3,2,2,有,7880000,57590,27.75,有
安平區,8.46,18,住宅大樓,109.28,2,2,1,有,4170000,43513,27.92,有
安平區,8.1,18,住宅大樓,92.52,2,2,1,有,4900000,52242,11.17,有
安平區,7.75,18,住宅大樓,81.35,2,2,1,有,4530000,55683,,有
安平區,8.03,18,住宅大樓,90.87,2,2,1,有,5150000,55835,11.17,有
安平區,8.1,18,住宅大樓,84.84,2,2,1,有,4200000,49502,,有
安平區,8.24,18,住宅大樓,94.32,2,2,1,有,4800000,51115,11.17,有
安平區,8.28,18,住宅大樓,94.32,2,2,1,有,4780000,50874,11.17,有
安平區,11.12,18,住宅大樓,138.81,3,2,2,有,7120000,54591,30.37,有
安平區,11.12,18,住宅大樓,136.2,3,2,2,有,7150000,54866,27.75,有
安平區,8.24,18,住宅大樓,94.32,2,2,1,有,4900000,52318,11.17,有
安平區,8.31,18,住宅大樓,94.21,2,2,1,有,5150000,54193,11.17,有
安平區,8.46,18,住宅大樓,109.11,2,2,1,有,5650000,54080,27.75,有
安平區,8.67,18,住宅大樓,110.78,2,2,1,有,5650000,53592,27.75,有
安平區,7.99,18,住宅大樓,83.44,2,2,1,有,4130000,49496,,有
安平區,7.85,18,住宅大樓,81.64,2,2,1,有,4100000,50222,,有
安平區,8.21,18,住宅大樓,92.81,2,2,1,有,4980000,53040,11.17,有
安平區,22.8,29,住宅大樓,251.93,3,2,2,有,15300000,62121,24.11,有
安平區,7.85,18,住宅大樓,81.64,2,2,1,有,4550000,55734,,有
北區,102.38,2,透天厝,125.7,3,2,2,無,8000000,63644,,無
安平區,18.71,17,住宅大樓,195.11,4,2,2,有,7800000,39977,,有
北區,20.25,10,華夏,80.13,2,2,1,有,6200000,77377,,有
北區,124.04,,,,,,,無,8380000,67559,,
北區,145.81,,透天厝,,,,,無,9203984,83302,,
安平區,8.35,18,住宅大樓,94.61,2,2,1,有,5180000,54290,11.17,有
安平區,7.75,18,住宅大樓,81.36,2,2,1,有,4050000,49777,,有
中西區,5.32,20,住宅大樓,63.3,1,1,1,有,3000000,47392,,有
安平區,8.1,18,住宅大樓,92.53,2,2,1,有,4650000,50392,11.17,有
安平區,8.56,18,住宅大樓,109.39,2,2,1,有,5500000,52673,27.75,有
安平區,8.56,18,住宅大樓,112,2,2,1,有,5800000,55730,30.36,有
北區,22.47,,,,,,,無,365136,16250,,
北區,36.85,,,,,,,無,560000,15196,,
北區,37.6,,,,,,,無,629800,16750,,
安平區,163,,,,,,,無,25380000,155706,,
中西區,129.43,2,透天厝,171.72,5,2,4,無,21000000,122292,,無
中西區,42.34,20,住宅大樓,370.11,4,3,2,有,34180000,102504,31.99,有
安平區,7.96,18,住宅大樓,84.01,2,2,1,有,4260000,50711,,有
安平區,8.38,18,住宅大樓,95.66,2,2,1,有,5230000,54800,11.17,有
安平區,8.38,18,住宅大樓,95.66,2,2,1,有,5200000,54445,11.17,有
安平區,8.38,18,住宅大樓,95.66,2,2,1,有,5400000,56812,11.17,有
安平區,8.74,18,住宅大樓,112.24,2,2,1,有,5880000,54800,27.75,有
安平區,8.28,18,住宅大樓,94.73,2,2,1,有,4540000,47750,11.17,有
安平區,8.35,26,住宅大樓,141.72,4,2,2,有,6200000,43748,23.19,有
安平區,8.28,18,住宅大樓,94.73,2,2,1,有,4770000,50502,11.17,有
安平區,8.28,18,住宅大樓,94.73,2,2,1,有,4780000,50622,11.17,有
中西區,3.06,12,住宅大樓,31.53,1,1,1,有,1480000,46940,,有
中西區,120.02,,,,,,,無,10600000,88319,,
中西區,67.37,2,透天厝,90.28,4,2,3,無,7600000,84183,,無
安平區,8.81,23,住宅大樓,103.32,2,1,1,有,7300000,70653,28.37,有
中西區,24.42,27,住宅大樓,263.79,3,2,3,有,22000000,86281,25.61,有
中西區,26.35,27,住宅大樓,307.57,3,2,3,有,31580000,110318,25.61,有
北區,69.25,,,,,,,無,6100000,88087,,
安平區,8.31,18,住宅大樓,94.73,2,2,1,有,4850000,51460,11.17,有
安平區,8.49,18,住宅大樓,96.39,2,2,1,有,5300000,54566,11.17,有
安平區,8.85,18,住宅大樓,112.97,2,2,1,有,5800000,53393,27.75,有
北區,32.32,14,住宅大樓,169.3,3,2,2,有,5200000,30714,,有
北區,46,4,透天厝,131.76,5,2,3,無,6260000,47511,,無
中西區,54.8,2,透天厝,102.66,3,2,2,無,9000000,87668,,無
北區,65.54,2,透天厝,98.4,4,2,2,無,7000000,71138,,無
安平區,8.73,23,住宅大樓,117.72,2,2,1,有,6400000,54369,30.66,有
安平區,46.72,14,住宅大樓,270.92,3,2,2,有,18500000,73188,31.81,有
北區,46.94,5,公寓,190.93,4,2,3,有,9000000,47138,,無
安平區,8.35,26,住宅大樓,119.07,4,2,2,有,4150000,34852,,有
北區,69.12,2,透天厝,107.8,4,2,2,無,8700000,80705,,無
中西區,79.49,4,透天厝,201.43,5,2,2,無,16000000,79432,,無
北區,154.1,5,透天厝,508.97,6,2,5,無,25000000,49119,30.48,無
北區,25.7,5,公寓,77.04,3,2,2,無,3850000,49977,,無
北區,71.35,4,透天厝,195.07,5,2,4,無,14300000,73307,,無
北區,25.7,5,公寓,77.04,3,2,2,無,3850000,49977,,無
中西區,474.03,1,透天厝,82.15,1,1,1,無,86750000,1055995,,無
中西區,27.35,7,華夏,556.36,2,2,2,有,12000000,21569,,有
中西區,2.97,20,住宅大樓,38.01,1,0,1,有,2530000,66569,,有
中西區,136.26,4,透天厝,374.07,5,5,6,無,35600000,95169,,無
安平區,2.3,13,住宅大樓,27.8,1,0,1,有,1350000,48562,,有
中西區,13.82,8,華夏,105.71,3,1,2,有,5390000,50990,,有
北區,428.09,,,,,,,無,15312468,35769,,
安平區,15.47,6,華夏,96.3,4,2,2,有,3600000,37383,,有
北區,14.81,25,住宅大樓,232.72,2,2,2,有,6000000,25782,,有
安平區,8.06,18,住宅大樓,91.85,2,2,1,有,4950000,53918,11.17,有
中西區,2.86,12,住宅大樓,28.65,1,0,1,有,2250000,78534,,有
北區,4.06,12,住宅大樓,40,1,0,1,有,1310000,32751,,有
北區,8.31,14,住宅大樓,75.15,2,2,1,有,5280000,70260,10.36,有
中西區,27.27,25,住宅大樓,283.14,3,2,3,有,23500000,89839,33.8,有
北區,119.26,,,,,,,無,5026016,42142,,
北區,11.86,,,,,,,無,393800,33204,,
北區,11.5,,,,,,,無,381700,33191,,
北區,1.6,,,,,,,無,52800,33000,,
北區,1.2,,,,,,,無,39600,33000,,
中西區,9.98,7,華夏,46.89,1,1,1,有,3650000,77846,,有
中西區,6.98,7,華夏,40.58,1,1,1,有,2100000,51755,,有
安平區,15.93,23,住宅大樓,203.78,3,2,2,有,9800000,48092,30.66,有
安平區,103,5,透天厝,298.8,6,3,6,無,16500000,55221,,無
中西區,4.73,5,華夏,21.53,1,0,1,無,700000,32509,,有
北區,157,1,透天厝,66.31,1,0,3,無,16000000,241291,,無
中西區,8.99,13,住宅大樓,96.44,3,2,2,有,6000000,62218,,有
安平區,8.1,18,住宅大樓,84.52,2,2,1,有,4220000,49929,,有
安平區,11.44,18,住宅大樓,126.16,3,2,2,有,6500000,50876,11.17,有
安平區,11.26,18,住宅大樓,137.97,3,2,2,有,7180000,54253,27.75,有
安平區,11.26,18,住宅大樓,137.97,3,2,2,有,7480000,56521,27.75,有
安平區,8.38,18,住宅大樓,95.04,2,2,1,有,4850000,50671,11.17,有
安平區,8.74,18,住宅大樓,111.62,2,2,1,有,5800000,54248,27.75,有
安平區,8.1,18,住宅大樓,92.51,2,2,1,有,4900000,52248,11.17,有
安平區,7.75,18,住宅大樓,81.34,2,2,1,有,4600000,56550,,有
安平區,8.35,18,住宅大樓,94.66,2,2,1,有,5250000,55096,11.17,有
安平區,8.46,18,住宅大樓,109.11,2,2,1,有,5580000,53834,27.75,有
北區,103.8,4,透天厝,271.68,6,3,4,無,18000000,66254,,無
北區,120.75,,,,,,,無,4000000,33126,,
安平區,23.31,24,住宅大樓,287.88,3,2,2,有,19200000,68297,25.06,有
安平區,27.03,24,住宅大樓,336.03,3,2,3,有,22220000,66631,25.06,有
安平區,22.99,24,住宅大樓,286.45,3,2,2,有,17500000,61828,23.62,有
中西區,6.18,6,華夏,26.94,1,0,1,有,1700000,63100,,有
安平區,34.09,24,住宅大樓,362.92,0,1,2,有,39000000,107462,,有
安平區,8.74,18,住宅大樓,112.24,2,2,1,有,5900000,55037,27.75,有
安平區,8.35,18,住宅大樓,87.04,2,2,1,有,4400000,50550,,有
安平區,7.92,18,住宅大樓,83.56,2,2,1,有,4120000,49305,,有
安平區,7.92,18,住宅大樓,83.56,2,2,1,有,4180000,50023,,有
安平區,8.31,18,住宅大樓,94.73,2,2,1,有,4900000,52058,11.17,有
安平區,151,,,,,,,無,13700000,90728,,
安平區,8.31,18,住宅大樓,94.21,2,2,1,有,5120000,54434,11.17,有
北區,30.52,,,,,,,無,315000,10321,,
安平區,69.38,4,透天厝,164.7,3,2,2,無,6500000,39466,,無
安平區,8.7,18,住宅大樓,108.92,2,2,1,有,5800000,56328,25.48,有
安平區,8.31,18,住宅大樓,94.21,2,2,1,有,5200000,55398,11.17,有
安平區,13.63,14,住宅大樓,162.84,3,2,2,有,8800000,54042,28.2,有
安平區,8.06,18,住宅大樓,91.84,2,2,1,有,4600000,50206,11.17,有
安平區,7.71,18,住宅大樓,80.68,2,2,1,有,4100000,50819,,有
安平區,7.71,18,住宅大樓,80.68,2,2,1,有,4200000,52058,,有
安平區,7.99,18,住宅大樓,83.56,2,2,1,有,4200000,50266,,有
安平區,7.99,18,住宅大樓,83.56,2,2,1,有,4420000,52899,,有
安平區,11.48,18,住宅大樓,126.74,3,2,2,有,6370000,49492,11.17,有
安平區,11.83,18,住宅大樓,143.32,3,2,2,有,7400000,53645,27.75,有
安平區,7.67,18,住宅大樓,79.7,2,2,1,有,3910000,49059,,有
安平區,8.46,18,住宅大樓,95.62,2,2,1,有,5100000,53878,11.17,有
安平區,7.99,18,住宅大樓,84.07,2,2,1,有,4280000,50912,,有
安平區,8.74,18,住宅大樓,112.31,2,2,1,有,5900000,54992,27.75,有
中西區,651.97,,,,,,,無,27712000,42505,,
安平區,8.24,18,住宅大樓,94.32,2,2,1,有,4780000,50874,11.17,有
安平區,7.92,18,住宅大樓,83.15,2,2,1,有,4300000,51716,,有
安平區,8.24,18,住宅大樓,94.32,2,2,1,有,4990000,52799,11.17,有
北區,196.26,4,透天厝,457.09,5,3,6,無,25500000,55788,,無
安平區,8.49,18,住宅大樓,96.32,2,2,1,有,5060000,51792,11.17,有
安平區,22.79,23,住宅大樓,229.7,,,,有,13280000,61120,26.49,有
中西區,49.08,3,透天厝,121.95,3,2,2,無,6580000,53957,,無
北區,23.56,5,公寓,88.3,3,2,1,無,3800000,43036,,無
北區,39.76,8,華夏,160.38,3,2,2,有,7800000,48633,,有
安平區,15.47,26,住宅大樓,200.34,,,,有,12380000,61795,,有
安平區,33.29,24,住宅大樓,383.66,3,2,3,有,24170000,64655,21.93,有
安平區,33.29,24,住宅大樓,383.66,3,2,3,有,28880000,78516,21.93,有
安平區,33.91,24,住宅大樓,346.55,3,2,3,有,27630000,84014,21.93,有
安平區,24.17,17,住宅大樓,246.7,3,3,4,有,9380000,38022,,有
北區,26.01,14,住宅大樓,144.78,3,2,2,有,8200000,56639,,有
北區,119.3,4,透天厝,306.83,6,2,6,無,36000000,117329,,無
中西區,28.07,25,住宅大樓,316.94,3,2,3,有,22400000,80212,33.8,有
中西區,168.41,,,,,,,無,9150000,54332,,
北區,11.15,24,住宅大樓,156.01,3,2,2,有,9380000,60126,32.55,有
中西區,32.48,24,住宅大樓,380.94,4,2,3,有,24010000,75531,44.77,有
北區,65.27,14,住宅大樓,207.49,4,2,2,有,13800000,66509,,有
安平區,114.5,4,透天厝,284.62,4,1,5,無,17500000,61485,,無
北區,33,,,,,,,無,3691000,111848,,
北區,208,4,透天厝,393.5,5,4,3,無,29300000,74460,,無
安平區,8.1,18,住宅大樓,92.53,2,2,1,有,5150000,55308,11.17,有
中西區,12.15,,,,,,,無,1392800,114681,,
北區,60,2,透天厝,76.4,6,0,6,無,6800000,89005,,無
安平區,8.46,18,住宅大樓,109.11,2,2,1,有,5750000,55309,27.75,有
安平區,7.85,18,住宅大樓,81.64,2,2,1,有,4280000,52427,,有
安平區,7.85,18,住宅大樓,81.65,2,2,1,有,4200000,51440,,有
安平區,8.21,18,住宅大樓,92.81,2,2,1,有,4900000,50835,11.17,有
安平區,8.74,18,住宅大樓,112.24,2,2,1,有,5720000,53499,27.75,有
北區,29,,,,,,,無,600000,20690,,
安平區,19.68,14,住宅大樓,161.52,3,2,2,有,8900000,55102,,有
安平區,5.75,7,華夏,28.2,,,,有,800000,28364,,有
北區,6.42,24,住宅大樓,86.72,,,,有,6200000,71493,,有
北區,11.27,24,住宅大樓,157.6,,,,有,8800000,55838,32.55,有
中西區,27.58,20,住宅大樓,276.23,3,2,2,有,22600000,92342,31.99,有
中西區,23.24,20,住宅大樓,209.96,3,2,2,有,18000000,92424,30.35,有
中西區,27.58,20,住宅大樓,274.59,3,2,2,有,20900000,85275,31.99,有
中西區,27.2,20,住宅大樓,244.24,3,2,2,有,24250000,107185,31.99,有
中西區,235.43,4,透天厝,404.1,8,3,5,無,30000000,74239,,無
安平區,8.73,14,住宅大樓,104.06,3,2,2,有,5870000,56411,,有
北區,62,2,透天厝,83.76,5,2,3,無,7350000,87751,,無
安平區,9.03,14,住宅大樓,92.14,2,2,1,有,4650000,50465,,有
中西區,1884.14,2,透天厝,150.31,3,1,2,無,501556000,3336811,,無
安平區,1.91,12,住宅大樓,22.93,1,0,1,有,1200000,52338,,有
北區,65,2,透天厝,81.6,3,2,2,無,8000000,98039,,無
北區,57.66,4,透天厝,166.48,4,1,4,無,5500000,33037,,無
安平區,123.5,4,透天厝,318.94,5,2,6,無,27900000,87477,,無
中西區,23.34,3,公寓,90.17,3,2,1,無,4500000,49906,,無
中西區,1.75,,住宅大樓,,1,1,1,有,650000,36995,,
北區,13.6,23,住宅大樓,167.9,3,2,2,有,10000000,69989,39.31,有
安平區,9.7,17,住宅大樓,184.6,3,2,2,有,7150000,33314,,有
北區,16.04,5,公寓,52.4,2,1,1,無,1900000,36263,,無
北區,67.95,4,透天厝,173.21,4,2,3,無,7350000,42434,,無
中西區,41.99,,,,,,,無,11600000,276256,,
北區,10.92,,,,,,,無,990000,90679,,
北區,15.18,24,住宅大樓,164.38,3,2,2,有,12000000,73000,33.38,有
安平區,57.27,6,華夏,268.05,4,2,3,有,9900000,36933,,有
北區,163,,,,,,,無,5408300,33180,,
北區,24.74,,,,,,,無,320000,12935,,
北區,9.71,14,住宅大樓,61.84,1,0,1,有,3800000,61446,,有
中西區,67.07,2,透天厝,82.81,5,2,2,無,8850000,106871,,無
安平區,14.03,17,住宅大樓,122.44,3,2,2,有,5800000,47370,,有
中西區,30.81,24,住宅大樓,367.37,4,2,3,有,24000000,78466,44.77,有
安平區,8.81,23,住宅大樓,103.32,2,1,1,有,7300000,70653,28.37,有
中西區,89.07,2,透天厝,113.77,2,1,1,無,14700000,129208,,無
中西區,6.11,20,住宅大樓,76.54,2,2,2,有,3600000,47032,,有
安平區,126.79,3,透天厝,223.57,4,3,3,無,25000000,111822,,無
北區,15.74,14,住宅大樓,114.71,2,2,1,有,5230000,45592,34.69,有
北區,5.75,24,住宅大樓,78.6,2,1,1,有,5400000,68702,,有
安平區,6.91,6,華夏,35.15,1,0,1,有,1930000,54902,,有
安平區,174,4,透天厝,355.62,6,2,4,無,33500000,94202,,無
北區,90.94,4,透天厝,242.29,4,2,5,無,23100000,95340,,無
北區,70,2,透天厝,91.6,7,2,3,無,6000000,65502,,無
北區,11.85,25,住宅大樓,146.57,3,2,2,有,7500000,51171,,有
北區,7.04,12,住宅大樓,91.45,3,1,2,有,3750000,41004,,有
北區,132.42,,,,,,,無,2140000,16161,,
北區,112.58,4,透天厝,322.35,4,3,5,無,23000000,71351,,無
北區,21,,,,,,,無,560000,26667,,
安平區,293.5,5,透天厝,708.98,7,2,7,無,63800000,89988,,無
北區,171.18,5,透天厝,439.4,5,2,6,有,39500000,89896,,無
北區,101,3,透天厝,228.15,6,2,3,無,13300000,58295,,無
北區,67.5,4,透天厝,181.48,4,2,4,無,17500000,96429,,無
中西區,160.04,,,,,,,無,5219132,32612,,
安平區,104,,,,,,,無,9000000,86538,,
北區,31.96,12,住宅大樓,144.93,3,2,2,有,7500000,51750,,有
北區,273.42,,,,,,,無,8580000,31381,,
北區,13,14,住宅大樓,109.24,3,2,2,有,5200000,47603,,有
北區,10.07,25,住宅大樓,123.19,3,2,2,有,6100000,49519,,有
安平區,37.49,24,住宅大樓,312.67,4,2,3,有,21180000,72708,29.25,有
安平區,34.46,24,住宅大樓,289.1,4,2,2,有,20510000,76886,29.25,有
安平區,26.26,24,住宅大樓,217.87,3,2,2,有,15060000,73217,29.25,有
安平區,26.26,24,住宅大樓,217.87,3,2,2,有,15660000,76398,29.25,有
安平區,26.89,24,住宅大樓,221.75,3,2,2,有,15350000,72728,29.25,有
安平區,11.8,18,住宅大樓,142.87,3,2,2,有,7650000,56026,27.75,有
安平區,11.26,18,住宅大樓,137.97,3,2,2,有,6880000,51531,27.75,有
安平區,11.26,18,住宅大樓,137.97,3,2,2,有,7050000,53074,27.75,有
安平區,8.38,18,住宅大樓,95.04,2,2,1,有,5200000,54844,11.17,有
安平區,8.38,18,住宅大樓,95.04,2,2,1,有,5220000,55678,11.17,有
中西區,15.7,7,華夏,128.85,3,2,2,有,4430000,34382,,有
安平區,8.81,18,住宅大樓,112.22,2,2,1,有,5800000,53866,27.75,有
安平區,7.99,18,住宅大樓,83.49,2,2,1,有,4200000,50305,,有
安平區,7.75,18,住宅大樓,81.35,2,2,1,有,4150000,51012,,有
安平區,8.7,18,住宅大樓,98.18,2,2,1,有,5450000,54590,11.17,有
安平區,8.03,18,住宅大樓,90.87,2,2,1,有,4800000,53326,11.17,有
安平區,8.46,18,住宅大樓,95.62,2,2,1,有,4800000,49142,11.17,有
安平區,8.38,18,住宅大樓,95.73,2,2,1,有,5300000,55582,11.17,有
安平區,8.28,18,住宅大樓,94.73,2,2,1,有,4020000,42436,,有
中西區,13.91,10,華夏,121.81,3,2,2,有,4800000,39407,,有
安平區,7.92,18,住宅大樓,83.17,2,2,1,有,3990000,47976,,有
安平區,8.49,18,住宅大樓,96.32,2,2,1,有,5200000,54023,11.17,有
安平區,11.12,18,住宅大樓,136.2,3,2,2,有,7000000,53483,27.75,有
安平區,8.49,18,住宅大樓,96.39,2,2,1,有,5120000,52453,11.17,有
安平區,8.31,18,住宅大樓,94.21,2,2,1,有,5500000,57204,11.17,有
安平區,8.85,18,住宅大樓,112.97,2,2,1,有,5740000,52689,27.75,有
安平區,8.06,18,住宅大樓,91.85,2,2,1,有,4980000,54290,11.17,有
安平區,8.35,18,住宅大樓,94.5,2,2,1,有,5350000,57002,11.17,有
安平區,8.7,18,住宅大樓,111.19,2,2,1,有,5660000,53452,27.75,有
北區,97,3,透天厝,209.92,4,2,0,無,15000000,71456,,無
安平區,13.74,14,住宅大樓,122.22,3,1,1,有,6400000,52364,,有
中西區,25.16,,透天厝,,3,2,1,無,2000000,52611,,
中西區,27.58,20,住宅大樓,276.23,3,2,2,有,22800000,93284,31.99,有
中西區,23.62,20,住宅大樓,243.59,3,2,2,有,19800000,93535,31.99,有
安平區,111.28,4,透天厝,230.09,5,2,4,無,18800000,81707,,無
安平區,8.85,18,住宅大樓,115.59,2,2,1,有,5780000,53153,30.36,有
安平區,8.1,18,住宅大樓,92.53,2,2,1,有,4900000,52850,11.17,有
安平區,11.8,18,住宅大樓,148.32,3,2,2,有,7800000,56092,33.33,有
北區,99.28,4,透天厝,260.94,4,2,5,無,16200000,62083,,無
安平區,11.26,18,住宅大樓,140.59,3,2,2,有,7350000,55338,30.36,有
安平區,9,17,住宅大樓,111.99,2,1,2,有,4600000,41076,,有
中西區,46.41,1,透天厝,40.61,1,1,1,無,5860000,144299,,無
安平區,25.16,29,住宅大樓,279.07,3,2,3,有,15310000,55041,24.11,有
北區,11.49,24,住宅大樓,155.15,3,2,2,有,8900000,60430,27.73,有
北區,5.92,25,住宅大樓,77.69,2,2,1,有,3900000,50201,,有
北區,,2,透天厝,74.34,4,1,2,無,1800000,24213,,無
安平區,101,2,透天厝,163.38,4,2,2,無,11000000,67328,,無
安平區,7.71,26,住宅大樓,129.97,3,2,2,有,5500000,42317,,有
北區,78.59,4,透天厝,245.76,5,2,4,無,12700000,51676,,無
北區,20.74,,,,,,,無,300000,14465,,
安平區,17.69,17,住宅大樓,189.63,4,2,2,有,7900000,41661,,有
北區,64.24,,,,,,,無,250000,3892,,
北區,1008.27,,,,,,,無,135650000,134537,,
安平區,8.46,18,住宅大樓,109.09,2,2,1,有,5620000,53724,27.75,有
安平區,99.5,4,透天厝,237.53,5,2,5,無,17200000,72412,,無
中西區,4.73,10,華夏,46.03,1,0,1,有,1080000,23461,,有
北區,15.91,12,住宅大樓,201.71,3,2,2,有,4800000,23797,,有
中西區,27.68,5,公寓,107.22,3,2,2,無,3650000,34042,,無
安平區,8.81,18,住宅大樓,112.22,2,2,1,有,5880000,54813,27.75,有
安平區,8.1,18,住宅大樓,92.52,2,2,1,有,4800000,52242,11.17,有
安平區,8.21,18,住宅大樓,92.85,2,2,1,有,4670000,49831,11.17,有
安平區,8.21,18,住宅大樓,92.85,2,2,1,有,4800000,52034,11.17,有
安平區,15.59,12,住宅大樓,163.69,4,2,3,有,7380000,45086,,有
安平區,11.12,18,住宅大樓,136.2,3,2,2,有,7420000,56895,27.75,有
北區,86,3,透天厝,177.87,4,2,3,無,17510000,98443,,無
北區,86,3,透天厝,176.3,4,2,3,無,17300000,98128,,無
安平區,104,,,,,,,無,9438000,90750,,
中西區,83.79,2,透天厝,106.64,4,2,4,無,14300000,134096,,無
北區,23.82,11,住宅大樓,112.34,2,2,2,有,8600000,76554,20.38,有
安平區,20.52,6,華夏,95.18,3,1,2,有,3200000,33621,,有
北區,36.9,,,,,,,無,300000,8131,,
安平區,23.31,24,住宅大樓,287.88,3,2,2,有,18550000,66014,25.06,有
中西區,48.76,4,公寓,99.16,3,2,1,無,3320000,33482,,無
北區,31.17,9,華夏,125.73,2,2,2,有,7600000,60446,,有
中西區,24.42,27,住宅大樓,265.12,3,2,3,有,21700000,83969,26.94,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,20700000,80827,25.61,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,21000000,82716,25.61,有
中西區,24.48,27,住宅大樓,289.39,3,2,3,有,18420000,66422,25.61,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,19040000,74907,25.61,有
中西區,26.35,27,住宅大樓,307.74,3,2,3,有,24600000,85374,25.61,有
中西區,25.55,27,住宅大樓,299.65,3,2,3,有,25500000,88556,25.61,有
北區,63,2,透天厝,80.5,6,0,6,無,9100000,113043,,無
北區,92.5,,,,,,,無,8800000,95135,,
中西區,83.4,4,透天厝,229.74,5,2,4,無,17000000,73997,,無
北區,66.75,2,透天厝,94.8,4,2,3,無,9900000,104430,,無
北區,95.56,4,透天厝,249.75,3,2,5,無,25880000,103624,,無
中西區,24.25,10,華夏,135.58,3,2,2,有,6300000,46467,,有
北區,7.98,14,住宅大樓,70.88,2,1,1,有,4500000,63491,,有
北區,3.51,10,華夏,31.8,1,1,1,有,1300000,40877,,有
北區,119.3,4,透天厝,306.83,6,2,6,無,38980000,127041,,無
安平區,71.83,3,透天厝,168.45,4,3,3,無,13000000,77174,,無
北區,82.12,3,透天厝,190.81,5,2,5,無,19000000,99575,,無
北區,17.06,10,華夏,106.19,3,2,2,有,6000000,56505,,有
