鄉鎮市區,土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,總價元,單價每平方公尺,車位移轉總面積平方公尺,電梯
安平區,12.03,26,住宅大樓,156.74,3,2,2,有,8100000,51678,30.66,有
北區,28.56,12,住宅大樓,131.24,3,2,2,有,4500000,34289,,有
北區,2,,,,,,,無,60400,30200,,
北區,103.51,3,透天厝,217.87,4,1,3,無,3650000,16753,,無
中西區,93.81,3,透天厝,201.95,5,2,3,無,8880000,43971,,無
安平區,8.99,20,住宅大樓,120.72,2,1,1,有,6100000,50531,30.66,有
安平區,7.6,,住宅大樓,,4,2,2,有,2800000,36981,,
安平區,94,,,,,,,無,7250000,77128,,
北區,,2,透天厝,58.42,4,1,3,無,3300000,56488,,無
中西區,27.67,26,住宅大樓,296.42,3,2,3,有,17660000,59578,24.8,有
北區,204.89,,,,,,,無,21390000,104397,,
安平區,12.79,14,住宅大樓,124.79,3,2,2,有,6260000,50166,,有
北區,58.5,12,住宅大樓,185.97,3,2,2,有,11700000,62914,,有
北區,7.11,25,住宅大樓,88.24,3,1,1,有,4460000,50544,,有
中西區,90.58,,,,,,,無,10000000,110400,,
安平區,25.85,7,華夏,156.98,3,2,2,有,6350000,40452,,有
北區,395.2,,,,,,,無,52280000,132287,,
中西區,1317.36,,,,,,,無,30000000,22773,,
安平區,15.03,,,,,,,無,900000,59870,,
中西區,7.25,10,華夏,60.2,1,1,1,有,2400000,39866,,有
北區,11.34,12,住宅大樓,123.96,2,0,2,有,4900000,39528,,有
北區,117.51,,,,,,,無,9954000,84708,,
安平區,136.39,2,透天厝,103.89,4,1,2,無,10800000,103956,,無
中西區,6.16,20,住宅大樓,38.01,1,0,1,有,2450000,64464,,有
北區,75,3,透天厝,133.92,5,2,4,無,11700000,87366,,無
北區,9.01,24,住宅大樓,133,3,2,2,有,6450000,48495,,有
北區,19.56,22,住宅大樓,220.07,3,2,2,有,14460000,72313,36.01,有
中西區,29.82,3,透天厝,92.55,3,1,2,無,5800000,62669,,無
中西區,19.58,7,華夏,135.62,2,2,2,有,6200000,45714,15.5,有
北區,121,4,透天厝,396.72,6,2,5,無,6800000,17141,,無
安平區,90.33,4,透天厝,190.66,5,2,3,無,14500000,76052,,無
安平區,8.67,26,住宅大樓,142.59,3,2,2,有,5330000,37379,23.19,有
安平區,39.98,,住宅大樓,,3,2,4,有,39000000,87097,,
中西區,25.42,9,華夏,246.36,6,0,6,有,8700000,35315,,有
